"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Fertility rate, total (births per woman)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI, Atlas method (current US$)","Immunization, measles (% of children ages 12-23 months)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Merchandise trade (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Population growth (annual %)","Population, total","Surface area (sq. km)","Time required to start a business (days)"
2007,"Cape Verde","CPV",94.898,2.764,1.44655898136904E9,6.94200430993828,2680.0,1.32009409057604E9,74.0,3.17590744483221,8.28321981953034,70.9048780487805,53.1673483698617,30.9552039079389,32.2,1.44577968790904,491717.0,4030.0,52.0
2007,"Central African Republic","CAF",106.623,4.578,1.71217296413064E9,4.2,370.0,1.60831686539225E9,62.0,1.97760659236808,0.368374593796809,44.6665853658537,24.9390691796614,2.99304357459907,171.9,1.82618764690495,4343404.85729193,623000.0,22.0
2007,"Chad","TCD",164.415,6.195,7.00605049029835E9,0.199997470925297,510.0,5.46339457212058E9,23.0,1.73636167017584,0.836148489280126,50.6226829268293,73.9713180939309,8.53202202245932,209.0,2.78335559956484,1.07636384151677E7,1284000.0,75.0
2007,"Chile","CHL",59.6,1.944,1.63877525982353E11,4.68035824632062,8160.0,1.35367925700772E11,91.0,5.09094734763733,31.1106089188855,78.4363414634146,70.0331539129769,84.0948561224111,9.02,0.980545681392897,1.65945964396281E7,756630.0,27.0
2007,"China","CHN",9.736,1.725,3.38226749917844E12,13.0,2410.0,3.17986625070516E12,94.0,7.44651951235285,16.1252534281657,72.9980487804878,64.2937023913,41.5157359413616,21.9,0.55449438988657,1.31830972422851E9,9598088.0,35.0
2007,"Colombia","COL",74.3,2.45,2.07785561582406E11,7.54589011945627,4100.0,1.80411933833555E11,95.0,4.75224249806867,27.5081274012776,72.8348780487805,30.2660370244537,77.1617068679383,20.3,1.25364806146305,4.3987E7,1141750.0,42.0
2007,"Comoros","COM",45.657,4.302,4.64949227987203E8,0.490990939913132,690.0,4.35252874915091E8,65.0,5.18348129786075,3.51681193246584,65.1309756097561,32.9068188073669,6.36527046600152,65.8,2.38399248572486,628410.060713836,1861.0,23.0
2007,"Congo, Dem. Rep.","ZAR",201.414,6.3,9.94978131939374E9,6.25661835080041,140.0,8.78561417292542E9,79.0,17.6754611792838,0.369235360158459,46.4187804878049,59.8003092631039,10.5642339156448,161.4,2.85339533370173,6.23992241428672E7,2344860.0,155.0
2007,"Congo, Rep.","COG",112.808,4.41,7.64584250532584E9,-1.59,1510.0,5.36995637402119E9,67.0,-7.89082954875258,2.75970437370903,53.5312195121951,112.283346524859,36.2600092084013,125.4,1.84829348741928,3551105.0,342000.0,37.0
2007,"Costa Rica","CRI",67.0,2.099,2.62671573202743E10,7.79547089771273,5520.0,2.46502203295587E10,90.0,9.2977537901124,33.6157609855736,78.7865853658537,84.8567042418249,33.7999529452672,11.48,1.43153037681484,4462192.60258227,51100.0,77.0
2007,"Cote d'Ivoire","CIV",129.929,4.645,1.97957213828617E10,1.7142291903655,880.0,1.77709107660649E10,67.0,2.71288096723094,2.23626975098292,57.2782926829268,73.9351687010063,37.1106877990514,126.5,2.25852731262221,2.0122796E7,322460.0,40.0
2007,"Croatia","HRV",14.126,1.4,5.85582312537493E10,5.47141455062213,12000.0,5.32398433062375E10,96.0,4.04480363217266,44.744320423302,75.6658536585366,65.2395524626676,113.494193619361,5.8,-0.0905364673893594,4435982.0,56540.0,22.0
2007,"Czech Republic","CZE",10.552,1.44,1.73958164287709E11,5.95051096844756,14240.0,1.47171412705684E11,97.0,3.61785334158178,48.2990586559527,76.7141463414634,138.658741696691,128.008768975901,3.9,0.631221550381242,1.033416E7,78870.0,17.0
2007,"Denmark","DNK",6.008,1.85,3.11579353416605E11,1.79956902575225,55450.0,3.02815788191373E11,89.0,1.50669097622456,80.7132663595192,78.2763414634146,64.6534479550865,115.538013980933,4.4,0.443466054321374,5461438.0,43090.0,6.0
2007,"Dominican Republic","DOM",108.7,2.4,4.13165437557733E10,8.47462477828749,4070.0,3.95645506832476E10,96.0,5.70085725461085,17.2430528555597,72.299756097561,50.2394394911107,56.6841797167226,37.6,1.14683378188183,9725568.981593,48730.0,22.0
2007,"Ecuador","ECU",82.8,2.578,4.5789374E10,2.49093630715778,3150.0,4.2057624680253E10,99.0,6.9757070448331,8.63524907273148,74.9980487804878,61.6179236038475,74.5149145609296,22.2,1.03676374367864,1.33395804834108E7,283560.0,65.0
2007,"Egypt, Arab Rep.","EGY",39.023,2.886,1.3047566241843E11,7.0747456970938,1500.0,1.20049234266686E11,97.0,12.6076366182475,13.1555995000783,70.0119512195122,43.1680199632727,37.5531341657201,36.2,1.83849235713202,8.006054E7,1001450.0,9.0
2007,"El Salvador","SLV",82.7,2.349,2.03726E10,4.65002279981761,3200.0,1.95522920421313E10,98.0,4.36249932394168,12.4943484770404,71.1590243902439,62.3189970843191,100.501411468371,23.8,0.411176261484168,6106761.0,21040.0,26.0
2007,"Equatorial Guinea","GNQ",122.805,5.358,1.25757701975204E10,21.4424770576449,9710.0,6.23547415456042E9,51.0,-1.1638416958416,1.55712305943539,50.0509756097561,103.134836246907,34.2567073075785,206.0,2.65335018894508,642210.0,28050.0,136.0
2007,"Eritrea","ERI",66.873,5.047,1.37414561913154E9,1.32516096489009,270.0,1.30808203401329E9,95.0,5.85636078278378,2.47843111166957,57.8682926829268,38.2055578892576,1.74208922839254,70.4,3.13974657646904,4841772.66154327,117600.0,84.0
2007,"Estonia","EST",21.405,1.64,2.09586754385965E10,6.33292120559715,12840.0,1.72333549178005E10,96.0,9.58890350494548,63.6976846800112,72.909756097561,127.368427543089,147.714866226619,5.6,-0.139653436441175,1341672.0,45230.0,7.0
2007,"Ethiopia","ETH",104.397,5.381,1.93947283523382E10,11.10239099635,220.0,1.75676857870844E10,65.0,16.8371211382719,0.370011858689343,54.98,36.2634622781509,1.53662746117647,118.6,2.59998064963343,7.8646128E7,1104300.0,16.0
2007,"Fiji","FJI",31.549,2.753,3.35073660851877E9,-6.59999999999999,3690.0,3.07809968219969E9,81.0,6.14085337800651,10.9555807536577,68.7748780487805,76.2580777165161,63.5337381544281,17.86,0.531499495186231,834278.0,18270.0,46.0
2007,"Finland","FIN",11.388,1.83,2.44660845286324E11,4.39964094957379,44310.0,2.34325170681095E11,98.0,2.5051841532599,78.8233636872438,79.259512195122,70.2397780727384,114.961654237698,3.5,0.425429832100609,5288720.0,338150.0,14.0
2007,"France","FRA",6.885,1.96,2.58984109821526E12,2.17284161492333,38790.0,2.46675766128967E12,87.0,2.46414382302052,51.1626933133369,80.9658536585366,45.2669850496965,89.7111112321129,4.3,0.576144979932688,6.1707072E7,551500.0,7.0
2007,"Gabon","GAB",89.914,3.35,1.15675938464363E10,5.55335388659583,6450.0,9.17517742831642E9,55.0,5.22463923812566,5.76700457562583,60.3017073170732,72.6166574614635,82.2149798647145,91.0,1.86476009449167,1421882.0,267670.0,58.0
2007,"Gambia, The","GMB",88.132,5.098,6.43509547738693E8,6.30500000000001,330.0,5.40908797306261E8,85.0,5.68504439454046,6.20503741852418,55.750243902439,51.8192777670188,49.5429307153778,108.6,2.80128146539877,1615510.0,11300.0,32.0
2007,"Georgia","GEO",44.651,1.407,1.01754661290398E10,12.4298079289328,2090.0,9.17752876989744E9,97.0,9.64044508064042,8.18444547805231,70.8258536585366,63.4565524381469,59.1033819209147,30.2,-0.778879123108261,4398587.55202644,69700.0,11.0
2007,"Germany","DEU",7.732,1.39,3.31736559728457E12,2.48488513250418,38990.0,3.20750124892296E12,94.0,1.84444403665063,72.2897820847449,79.6853658536586,71.6845495008612,118.090361279489,4.4,-0.13130570814061,8.2268357E7,357050.0,18.0
2007,"Ghana","GHA",64.036,4.308,1.49893617021277E10,6.0999994750558,600.0,1.37632757610075E10,95.0,13.841135485483,3.84767307161403,56.4931707317073,81.8420440028389,33.2476249582112,115.2,2.11047419719965,2.2870966E7,238540.0,42.0
2007,"Greece","GRC",8.889,1.38,3.13353635169167E11,4.00276621554529,25740.0,2.88090719287698E11,88.0,2.87526690584036,32.8630637111303,79.690243902439,31.8688557661342,109.841061214294,4.1,0.401990960561374,1.1193366E7,131960.0,38.0
2007,"Guinea","GIN",152.312,5.451,4.563586048E9,1.50908756256104,390.0,3.721974016E9,71.0,17.3829898834229,0.780025279059244,57.5558536585366,51.385028688737,20.8006741082465,150.3,2.13591439643408,9615073.0,245860.0,41.0
2007,"Guinea-Bissau","GNB",129.169,5.727,3.81964356499196E8,0.599999999999994,220.0,3.40055919762862E8,76.0,9.59574279294077,2.20630223745003,47.6219512195122,57.8588018069338,19.2222784612989,198.0,2.23996346650883,1541040.0,36120.0,233.0
2007,"Haiti","HTI",46.4,3.75,6.71520034725048E9,3.44063001758543,520.0,5.03924625391107E9,58.0,19.3762787854099,10.4041448720429,60.879512195122,35.3448873788526,26.0103621801073,76.0,1.73801532325251,9611553.9748693,27750.0,202.0
2007,"Honduras","HND",93.1,3.308,1.22342166140834E10,6.30038778578619,1590.0,1.1310437154895E10,89.0,7.00228229266466,5.97090093075112,70.2070731707317,115.663270043058,58.9099142437735,23.9,1.92009955935395,7103785.59147592,112090.0,21.0
2007,"Hungary","HUN",20.172,1.32,1.38757191934686E11,1.2,11670.0,1.17317882887795E11,99.0,5.89692031658689,51.864857823063,73.0885365853659,137.857240841282,109.687463329548,6.8,-0.154915158060948,1.005578E7,93030.0,16.0
2007,"Iceland","ISL",15.064,2.451,1.99628542004744E10,3.84471257316143,57750.0,1.79607508260728E10,95.0,5.50900417014503,65.0395341434162,81.1907317073171,57.5423929095622,105.351177021,2.5,2.34729269303605,310997.0,103000.0,5.0
2007,"India","IND",68.141,2.68,1.176890254664E12,9.06039655400642,950.0,1.07110839774933E12,67.0,4.88767741428384,7.20136347673374,64.7458536585366,30.9113784023867,20.7701547584511,71.8,1.34038183992227,1.12478699709709E9,3287260.0,33.0
2007,"Indonesia","IDN",39.829,2.182,4.31933347453043E11,6.27813457517557,1650.0,3.71701369059057E11,80.0,11.2843103829193,11.0800836520937,70.6114634146342,48.8020751912229,41.3893776963215,31.2,1.15383358216234,2.25630065484893E8,1904570.0,105.0
2007,"Iran, Islamic Rep.","IRN",18.337,2.04,2.86057933325518E11,7.82478831862593,3540.0,2.51486382371896E11,97.0,20.4623349579848,18.3044351448631,70.9504878048781,46.7300446612278,41.9171564817364,32.8,1.30831363823314,7.10210388745501E7,1745150.0,28.0
2007,"Ireland","IRL",15.946,1.9,2.59018237174393E11,6.0,47610.0,2.07894990827507E11,87.0,2.1933387489846,56.1476325027318,79.3926829268293,79.3022789749366,114.120562238087,4.2,2.4440863153601,4366193.0,70270.0,13.0
2007,"Israel","ISR",14.305,2.9,1.63957060441567E11,5.36889802163336,22170.0,1.5918922438478E11,97.0,-0.240915509324608,27.8547652539658,80.6048780487805,69.0001392409198,123.981560145402,5.0,1.7761008691798,7180100.0,22070.0,34.0
2007,"Italy","ITA",4.895,1.34,2.10163746852075E12,1.45670507178623,33490.0,1.98837517975656E12,87.0,2.26436451256535,53.8950082460205,81.3129268292683,47.4383215365746,151.244551109403,3.7,0.732281692314131,5.9374701E7,301340.0,13.0
2007,"Jamaica","JAM",77.328,2.429,1.30700301899008E10,1.42875028508817,4420.0,1.18242471767231E10,76.0,11.2062072933995,56.058001345392,72.5258536585366,66.0160755150139,100.318820539652,31.1,0.475754329713557,2675800.0,10990.0,8.0
2007,"Japan","JPN",4.731,1.34,4.38425229104016E12,2.09999999999999,37800.0,4.82928108610144E12,98.0,-0.647948164146868,68.9594449433849,82.5070731707317,30.4857084691835,84.0090552806491,3.5,0.011544779571133,1.2777075E8,377910.0,23.0
2007,"Jordan","JOR",24.539,3.6,1.65324821883585E10,6.58118339830844,2960.0,1.69447657210077E10,95.0,4.53208504107879,19.7017933045573,72.590243902439,117.416548699923,83.4369985591333,24.4,3.22074241852127,5718855.04320754,88780.0,14.0
2007,"Kazakhstan","KAZ",30.677,2.36,1.04853480212158E11,8.89999999999999,4970.0,7.69389288837394E10,99.0,15.5270972952559,12.2746670799912,66.4132313498747,76.7842896936714,79.5822580436832,31.6,1.14380491168841,1.54842E7,2724900.0,21.0
2007,"Kenya","KEN",103.544,4.959,2.695031046674E10,6.96089869502168,660.0,2.48336649374775E10,80.0,4.65463301616703,7.99345055904438,54.0636585365854,48.4968884352189,30.240321232075,121.2,2.63832811239626,3.75307256589656E7,580370.0,44.0
2007,"Korea, Rep.","KOR",5.472,1.26,1.04923595118697E12,5.10582397211579,21210.0,1.02755893534777E12,92.0,2.08035323642119,75.9344560013208,78.9692682926829,69.4157495438522,89.767087667162,4.84,0.328672275037912,4.8456E7,99260.0,17.0
2007,"Kyrgyz Republic","KGZ",32.281,2.7,3.74462486602358E9,8.21132846104705,610.0,3.19963879165333E9,99.0,13.4839854934768,14.3271949262627,67.6951219512195,94.8559636034216,41.4214296630244,38.4,0.819039958226238,5234800.0,199900.0,21.0
2007,"Lao PDR","LAO",37.416,3.543,4.2999090448861E9,7.85899999999999,610.0,3.73043660988351E9,40.0,5.37809502962139,1.64140759236365,64.7507317073171,46.2693507986214,24.2667175721875,70.2,1.8033439438902,6092332.0,236800.0,100.0
2007,"Latvia","LVA",15.206,1.42,2.87658622031919E10,9.97759744100901,10090.0,2.29710752870884E10,97.0,20.2951181197157,55.0228021615922,71.2170731707317,82.2932931847712,97.4038047537454,8.6,-0.5191893956554,2276100.0,64590.0,16.0
2007,"Lebanon","LBN",16.199,2.209,2.47313176833181E10,7.50000000000001,6190.0,2.53652086524847E10,53.0,3.92906391282844,38.3200134665744,71.9673170731707,63.9876944796774,30.7536413808176,29.4,1.02485866625349,4097075.80444739,10400.0,46.0
2007,"Lesotho","LSO",73.464,3.373,1.66956419545999E9,5.06424659600613,1040.0,2.0765581424795E9,85.0,9.16086610990079,3.4898346080435,42.5573170731707,151.835910646226,22.7337797323977,83.5,0.546789579432477,2005825.71559871,30350.0,73.0
2007,"Liberia","LBR",141.572,5.145,7.34933279196919E8,9.40000420971776,150.0,5.30632081110549E8,95.0,15.9617188557888,0.551376580555429,58.0365853658537,95.4780549285734,15.5212507426353,132.8,4.40359356590871,3627285.0,111370.0,68.0
2007,"Lithuania","LTU",21.891,1.35,3.88937679579907E10,8.92464324971196,9910.0,3.34368563488237E10,97.0,8.82322299306664,49.2078487553983,70.8846341463415,107.024582434287,145.516376556826,8.2,-0.545490813022069,3375618.0,65300.0,26.0
2007,"Luxembourg","LUX",12.284,1.61,4.94596518121099E10,4.45642593854707,79060.0,3.79481314268172E10,96.0,2.19143056769202,75.8165223242839,79.1756097560976,101.047070043795,142.606246341092,2.8,1.54438684650549,479993.0,2590.0,26.0
2007,"Macedonia, FYR","MKD",21.686,1.426,7.92666429423792E9,5.86108612759266,3410.0,6.94542868647287E9,96.0,7.65147274928279,27.29643355927,74.1319512195122,108.29271533853,95.5663093512982,16.6,0.0321933529889004,2037031.68325141,25710.0,15.0
2007,"Madagascar","MDG",132.773,4.776,7.34708031962637E9,6.24061271984328,340.0,6.3565998714501E9,81.0,9.68218751578075,0.650385003734339,60.1107317073171,52.7134038218457,11.9198478421596,111.8,2.71838402369752,1.8604365E7,587040.0,7.0
2007,"Malawi","MWI",135.239,5.593,3.58585797239587E9,8.60000000000018,250.0,3.5474496152716E9,83.0,7.39343682504688,1.0019064648104,48.2607317073171,58.2244198200918,7.54919057231826,110.5,2.54170863102361,1.39200618918446E7,118480.0,37.0
2007,"Malaysia","MYS",12.797,2.597,1.86718646485979E11,6.34711863836091,6420.0,1.70489269935242E11,90.0,5.19744436840864,55.7173962284918,74.2875609756098,173.091190988399,87.9375671612753,11.2,1.6550315633522,2.65495177472697E7,329740.0,24.0
2007,"Maldives","MDV",13.41,2.631,1.054140625E9,7.30478589420656,3220.0,9.84391285698446E8,97.0,7.31810566966419,16.2769229927668,68.4970731707317,125.627451271029,102.685113847668,30.2,1.66714471305566,305340.266228979,300.0,9.0
2007,"Mali","MLI",162.9,6.516,6.84791453669122E9,2.79997025747487,560.0,6.94101994686194E9,68.0,4.08451178172244,0.810755940419018,54.3107317073171,54.160240758379,20.5193491280303,195.6,3.01054618983658,1.23341680294464E7,1240190.0,25.0
2007,"Mauritania","MRT",90.003,4.37,2.64378487477027E9,1.89999999999999,840.0,2.63620430188198E9,67.0,-2.55723059182232,1.44185434788066,64.1307317073171,111.582452420844,45.3052103713282,118.5,2.50935310213467,3120980.98300597,1030700.0,65.0
2007,"Mauritius","MUS",39.321,1.66,6.78649355472679E9,4.67546902123131,5610.0,7.06742420444792E9,98.0,7.00898576480908,26.9693152649497,72.4321951219512,90.371320160296,73.6597043528475,15.1,0.61304757936328,1260692.0,2040.0,7.0
2007,"Mexico","MEX",64.8,2.1339003638,1.02281528405641E12,3.20292407558784,9400.0,9.8952147635845E11,96.0,4.72610132625546,20.9954291278949,74.9064048858537,55.4374014388241,63.2210658695416,34.72,1.01112562776032,1.05280515417673E8,1964380.0,27.0
2007,"Micronesia, Fed. Sts.","FSM",25.426,3.705,2.381E8,-3.60448124695567,2280.0,2.52676187017786E8,92.0,3.65219615021937,13.5182460344574,68.5053658536585,65.9386812263755,24.7257732134248,40.2,0.31062717415328,110961.140681755,700.0,16.0
2007,"Moldova","MDA",33.81,1.5,4.40249592129332E9,2.98786914937443,1130.0,4.13763975213924E9,96.0,15.9204866456481,19.086732566792,68.3475609756098,114.298799816304,51.3386752553328,18.2,-1.12195378962179,3667469.0,33840.0,23.0
2007,"Mongolia","MNG",16.572,1.869,3.92978773100314E9,10.2228440152322,1290.0,3.36097333029453E9,98.0,12.3284110366222,12.2680012463133,66.8014634146341,101.946982235026,35.1213706930001,43.3,0.914943476556064,2608411.86412632,1566500.0,13.0
2007,"Morocco","MAR",18.865,2.376,7.51187744140625E10,2.71504454312014,2290.0,7.06519363302951E10,95.0,3.76949940905536,21.3864965614406,71.1453658536585,62.530713121175,64.9025084209186,34.4,1.18664411378391,3.08605945861168E7,446550.0,12.0
2007,"Mozambique","MOZ",149.197,5.113,8.01051755247056E9,7.02190493553468,340.0,7.26603007055913E9,77.0,7.40000000000001,0.935794992155297,42.0714634146341,74.9015274069216,15.4406173705624,168.472796153715,1.89291842841594,2.13722024243115E7,799380.0,29.0
2007,"Namibia","NAM",74.414,3.6,8.71730496453901E9,4.05878087275519,4100.0,8.53575943551591E9,69.0,9.33574345196824,4.85557481177929,52.7773170731707,73.8946266329303,38.4729787586397,67.6,1.62500415351946,2080083.28396014,824290.0,99.0
2007,"Nepal","NPL",101.386,2.9588888889,1.02825758004557E10,3.34758776192513,350.0,9.83665184380006E9,81.0,7.72659661675044,1.41426200816999,63.7124390243903,36.8783374281758,11.6299359953633,54.7,1.67264560962548,2.81075923487737E7,147180.0,31.0
2007,"Netherlands","NLD",3.787,1.71,7.65817639329903E11,3.48256421695336,45650.0,7.47879713962902E11,96.0,1.19450881229064,84.1932644846325,80.2324390243902,136.453208317893,117.726870851517,5.2,0.214109197877042,1.6381137E7,41530.0,10.0
2007,"New Zealand","NZL",22.55,2.2,1.35667446191359E11,3.0,27090.0,1.14544212050357E11,79.0,4.94791666666667,69.1759335903318,80.1212195121951,42.6198996540724,100.541754369368,5.8,1.03889011022843,4228300.0,267710.0,12.0
2007,"Niger","NER",157.368,6.9515,4.24570020468757E9,3.30000001246353,280.0,3.99799875787773E9,47.0,3.32847461580488,0.388866988864384,56.8917073170732,40.4880212244401,6.34022264452801,175.5,3.28231002412827,1.41950851012583E7,1267000.0,23.0
2007,"Nigeria","NGA",126.583,5.322,1.65920866365374E11,6.4498281067652,970.0,1.43292510503958E11,62.0,4.80824995426966,6.75753564708175,46.8331707317073,57.5876935150456,27.2974788075683,188.8,2.22964883178329,1.47982941152793E8,923770.0,34.0
2007,"Norway","NOR",8.561,1.9,3.88412405957316E11,3.65661514836464,77370.0,3.64349962862676E11,92.0,1.60582572383676,84.8004301410466,80.3960975609756,55.7795527838544,110.244156433227,3.6,1.03473451527825,4709153.0,323800.0,7.0
2007,"Pakistan","PAK",45.691,3.885,1.42893426376398E11,6.01454150204567,860.0,1.40253640584361E11,80.0,7.93779413778996,10.7704636560411,65.4836585365854,35.2902868093931,38.7495137813154,90.4,2.16464981162964,1.6248139874818E8,796100.0,24.0
2007,"Panama","PAN",82.6,2.561,1.94854E10,11.5430551362986,5500.0,1.83837319748237E10,89.0,1.93703404702559,22.309763060875,75.5663414634146,41.2398000554261,90.1224551716433,22.7,1.60128910285291,3340604.72971589,75520.0,18.0
2007,"Papua New Guinea","PNG",55.022,3.785,6.25873819163293E9,6.20987252256444,850.0,5.40151291292728E9,58.0,2.43668248920844,1.81844138956048,57.42,122.567197494461,4.74376014667952,65.1,1.95451224996248,6324097.1449619,462840.0,56.0
2007,"Paraguay","PRY",72.3,3.083,1.22222875662036E10,6.76130442689072,1710.0,1.04621439319675E10,80.0,10.2275620645468,8.66390601615271,71.7585365853659,81.8586532660653,76.6990320285223,28.8,1.72205124359034,6120495.75574082,406750.0,35.0
2007,"Peru","PER",54.7,2.599,1.07291240775086E11,8.8567316524182,3340.0,9.52884843942202E10,99.0,2.03769847969029,26.7862535362722,73.1343902439024,45.0879201792523,54.0795105849379,19.9,1.17317090420612,2.8508481E7,1285220.0,72.0
2007,"Philippines","PHL",44.971,3.11,1.44042655197614E11,7.07881532877074,1600.0,1.41526112830855E11,92.0,2.93026102959426,5.9739725288564,71.6956097560976,75.2982933084647,64.6370481993066,28.2,1.84181391789802,8.8718185E7,300000.0,58.0
